,endog_vars,exog_vars,ieps_sin_gas_neto_(mdp)_r,importaciones_neto_(mdp)_r,ing_trib_sin_gasol_neto_(mdp)_r,isr_neto_(mdp)_r,iva_neto_(mdp)_r,model,params,split_date
25,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -108068.29021268105, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -191794.42347255442}",,ARIMA,"{'order': (4, 0, 3)}",2017-07-01
26,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2017-01-01 00:00:00', freq='AS-JAN'): -133707.35264116805, Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -190762.68957511382}",,ARIMA,"{'order': (4, 0, 4)}",2017-07-01
27,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -21467.225665715756, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -908514.4247857381}",,ARIMA,"{'order': (2, 0, 2)}",2018-07-01
28,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -33003.9063829924, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -927425.5589882338}",,ARIMA,"{'order': (2, 0, 3)}",2018-07-01
29,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -28996.239930500975, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -921734.5210499812}",,ARIMA,"{'order': (2, 0, 4)}",2018-07-01
30,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -23729.232908356935, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -900871.6579911038}",,ARIMA,"{'order': (3, 0, 2)}",2018-07-01
31,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -20755.36563631706, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -900801.6529629026}",,ARIMA,"{'order': (3, 0, 3)}",2018-07-01
32,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -30201.04925697879, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -907891.5891508495}",,ARIMA,"{'order': (3, 0, 4)}",2018-07-01
33,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -25533.649415823398, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -915885.9398842691}",,ARIMA,"{'order': (4, 0, 2)}",2018-07-01
34,['isr_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']",,,,"{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): -22610.742561309133, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -913674.5621290442}",,ARIMA,"{'order': (4, 0, 3)}",2018-07-01
