,variable,model,params,endog_vars,exog_vars,mape_first6,mape_first18,mape_last12,rmse_first6,rmse_last12,rmse_first18
31,isr_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",['isr_neto_(mdp)_r'],"['igae', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.05968607081102393,0.09094094726423284,0.10944587956664042,8136.128313716288,19009.21981902291,15954.453813219148
30,isr_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']",all,0.07435108515153362,0.09553407797034469,0.10904435249949904,11513.000656612938,24025.598098610964,20383.985901069664
29,isr_neto_(mdp)_r,GB,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 1, 'random_state': 1234, 'subsample': 0.5}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.1391229071866743,0.13481353450094724,0.1307223961849695,18836.451526691013,26185.847087640734,24253.211593378765
28,isr_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'ing_trib_sin_gasol_neto_(mdp)_r', 'ieps_sin_gas_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.12459380916823086,0.13156438255986064,0.13982782093420223,18019.584228002033,29244.75272969102,25647.05259327071
37,iva_neto_(mdp)_r,SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 1), 'seasonal_order': (1, 0, 0, 12)}",['iva_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.1314936935369296,0.10830874128799314,0.09639304182895875,10391.877415338542,8372.880461127676,9163.584411252998
38,iva_neto_(mdp)_r,VAR,"{'ic': 'fpe', 'maxlags': 12, 'trend': 'c'}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r']","['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.13452031804071615,0.10992703142369914,0.09721371428267327,10352.803494066717,8874.398017362291,9461.397593312482
36,iva_neto_(mdp)_r,RF,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 1234}",['iva_neto_(mdp)_r'],all,0.15520432827756678,0.11957129405600309,0.0984905443690503,12401.375785052393,9178.854714935493,10568.697193249018
33,iva_neto_(mdp)_r,ARIMA,"{'order': (1, 0, 2)}",['iva_neto_(mdp)_r'],"['igae', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo', 'mes_1', 'mes_3', 'mes_4', 'mes_12', 'year_2009', 'year_2015', 'semana_santa', 'IVA', 'ISRP', 'ISRE']",0.14517522828917467,0.11904981852750211,0.10744531260425311,12450.953860451002,9704.396089650885,10834.546181704438
35,iva_neto_(mdp)_r,GB,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'random_state': 1234, 'subsample': 1.0}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.14743463875086454,0.12290838582554253,0.11114980464086324,11640.147424282102,10043.411955868634,10667.786928837015
34,iva_neto_(mdp)_r,DT,"{'criterion': 'mae', 'max_depth': 1, 'max_features': None, 'min_samples_split': 5, 'random_state': 1234}","['isr_neto_(mdp)_r', 'iva_neto_(mdp)_r', 'importaciones_neto_(mdp)_r']",all,0.19984665304755386,0.1512253944792977,0.11697677747570098,15492.841286932347,11043.980934680767,13391.61102075949
