,endog_vars,exog_vars,ing_trib_neto_(mdp)_r,model,params,split_date
32,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): 14441.995608037338, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -1645915.616894355}",ARIMA,"{'order': (3, 0, 4)}",2018-07-01
33,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): 5203.3698591799475, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -1660909.5843076394}",ARIMA,"{'order': (4, 0, 2)}",2018-07-01
34,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): 7124.0322951735, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -1667216.3620436648}",ARIMA,"{'order': (4, 0, 3)}",2018-07-01
35,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2018-01-01 00:00:00', freq='AS-JAN'): 24899.40244443249, Timestamp('2019-01-01 00:00:00', freq='AS-JAN'): -1624383.211756046}",ARIMA,"{'order': (4, 0, 4)}",2018-07-01
36,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -44376.4007930099, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 137460.49899230478}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
37,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -139169.81363961333, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -276727.7738224161}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
38,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -54489.82570633013, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -74027.99949327623}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
39,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -45995.50069142692, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 179571.85557125183}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
40,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -92144.38031192776, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -21499.74193416536}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
41,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -211902.80553873256, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -465058.59950480657}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
42,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -105627.59573705355, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -164656.46374951396}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
43,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -35964.77549598552, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): 172346.7957106121}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (2, 0, 3), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
44,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -133750.0121040591, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -162638.6521223057}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
45,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -170920.80625765864, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -281596.3858873416}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
46,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -94777.47859120369, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -151244.90259948652}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
47,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -95324.3769211024, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -4854.6828596722335}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 2), 'seasonal_order': (1, 0, 1, 12)}",2015-07-01
48,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -171876.86578695197, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -263385.1790577732}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (0, 0, 0, 12)}",2015-07-01
49,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -181423.155731719, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -360060.7516185846}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (0, 0, 1, 12)}",2015-07-01
50,['ing_trib_neto_(mdp)_r'],"['igae_sa', 'inpc', 'tasa_cetes_91_mensual', 'tc_mensual', 'commodity_price_index', 'importaciones_r', 'indic_mens_consumo']","{Timestamp('2015-01-01 00:00:00', freq='AS-JAN'): -112810.15761574637, Timestamp('2016-01-01 00:00:00', freq='AS-JAN'): -118969.1603454426}",SARIMA,"{'enforce_invertibility': False, 'enforce_stationarity': False, 'order': (3, 0, 3), 'seasonal_order': (1, 0, 0, 12)}",2015-07-01
